DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-03-22 17:30:21.034,1774171821034,1774171821034,-1.2231445,-0.08154297,-0.2055664,-5.004883,30.517578,0.0,0.0,0.0,0.0,-82.298584,79.38721,46.862183
2026-03-22 17:30:21.045,1774171821045,1774171821045,-1.2231445,-0.08154297,-0.2055664,-5.004883,30.517578,0.0,0.0,0.0,0.0,-87.95654,79.18396,41.412964
2026-03-22 17:30:21.133,1774171821133,1774171821133,-0.8696289,-0.17529297,0.17382812,40.161133,30.578613,-8.544922,0.0,0.0,0.0,-87.95654,79.18396,41.412964
2026-03-22 17:30:21.145,1774171821145,1774171821145,-0.8696289,-0.17529297,0.17382812,40.161133,30.578613,-8.544922,0.0,0.0,0.0,-112.12097,78.62366,15.023804
2026-03-22 17:30:21.233,1774171821233,1774171821233,-0.7290039,-0.33740234,0.2290039,-10.498047,-10.7421875,4.211426,0.0,0.0,0.0,-112.12097,78.62366,15.023804
2026-03-22 17:30:21.245,1774171821245,1774171821245,-0.7290039,-0.33740234,0.2290039,-10.498047,-10.7421875,4.211426,0.0,0.0,0.0,-111.016846,78.07434,11.013794
2026-03-22 17:30:21.333,1774171821333,1774171821333,-1.1005859,0.071777344,-0.17919922,-60.36377,-87.1582,21.42334,0.0,0.0,0.0,-111.016846,78.07434,11.013794
2026-03-22 17:30:21.344,1774171821344,1774171821344,-1.1005859,0.071777344,-0.17919922,-60.36377,-87.1582,21.42334,0.0,0.0,0.0,-86.49536,79.420166,32.156982
2026-03-22 17:30:21.432,1774171821432,1774171821432,-0.8496094,-0.12597656,0.0063476562,45.654297,14.160156,-1.5869141,0.0,0.0,0.0,-86.49536,79.420166,32.156982
2026-03-22 17:30:21.444,1774171821444,1774171821444,-0.8496094,-0.12597656,0.0063476562,45.654297,14.160156,-1.5869141,0.0,0.0,0.0,-73.00964,81.17798,46.66992
2026-03-22 17:30:21.532,1774171821532,1774171821532,-1.0131836,-0.2866211,-0.0546875,7.019043,-5.3100586,-1.6479492,0.0,0.0,0.0,-73.00964,81.17798,46.66992
2026-03-22 17:30:21.544,1774171821544,1774171821544,-1.0131836,-0.2866211,-0.0546875,7.019043,-5.3100586,-1.6479492,0.0,0.0,0.0,-71.23535,80.667114,44.241943
2026-03-22 17:30:21.632,1774171821632,1774171821632,-1.1508789,-0.17529297,0.0,-22.888184,7.751465,6.4086914,0.0,0.0,0.0,-71.23535,80.667114,44.241943
2026-03-22 17:30:21.643,1774171821643,1774171821643,-1.1508789,-0.17529297,0.0,-22.888184,7.751465,6.4086914,0.0,0.0,0.0,-75.6189,80.95276,40.946045
2026-03-22 17:30:21.732,1774171821732,1774171821732,-1.2226562,-0.23339844,-0.04296875,-2.8076172,44.006348,-7.1411133,0.0,0.0,0.0,-75.6189,80.95276,40.946045
2026-03-22 17:30:21.743,1774171821743,1774171821743,-1.2226562,-0.23339844,-0.04296875,-2.8076172,44.006348,-7.1411133,0.0,0.0,0.0,-88.37402,81.07361,28.883057
2026-03-22 17:30:21.831,1774171821831,1774171821831,-0.83691406,-0.036132812,0.15722656,-14.587402,-2.9296875,-4.272461,0.0,0.0,0.0,-88.37402,81.07361,28.883057
2026-03-22 17:30:21.843,1774171821843,1774171821843,-0.83691406,-0.036132812,0.15722656,-14.587402,-2.9296875,-4.272461,0.0,0.0,0.0,-107.44629,79.96399,9.0802
2026-03-22 17:30:21.931,1774171821931,1774171821931,-0.8989258,-0.038085938,0.15283203,16.052246,-5.2490234,-5.79834,0.0,0.0,0.0,-107.44629,79.96399,9.0802
2026-03-22 17:30:21.943,1774171821943,1774171821943,-0.8989258,-0.038085938,0.15283203,16.052246,-5.2490234,-5.79834,0.0,0.0,0.0,-101.28845,79.28284,10.827026
2026-03-22 17:30:22.031,1774171822031,1774171822031,-0.97216797,-0.17138672,-0.15039062,-6.1035156,-31.12793,-7.873535,0.0,0.0,0.0,-101.28845,79.28284,10.827026
2026-03-22 17:30:22.042,1774171822042,1774171822042,-0.97216797,-0.17138672,-0.15039062,-6.1035156,-31.12793,-7.873535,0.0,0.0,0.0,-82.81494,79.12903,24.25232
2026-03-22 17:30:22.130,1774171822130,1774171822130,-0.8808594,-0.123535156,0.05078125,-3.1738281,-4.5166016,-1.2817383,0.0,0.0,0.0,-82.81494,79.12903,24.25232
2026-03-22 17:30:22.142,1774171822142,1774171822142,-0.8808594,-0.123535156,0.05078125,-3.1738281,-4.5166016,-1.2817383,0.0,0.0,0.0,-80.84839,78.61267,24.592896
2026-03-22 17:30:22.230,1774171822230,1774171822230,-1.0102539,-0.051757812,-0.08203125,-20.202637,-14.221191,6.0424805,0.0,0.0,0.0,-80.84839,78.61267,24.592896
2026-03-22 17:30:22.242,1774171822242,1774171822242,-1.0102539,-0.051757812,-0.08203125,-20.202637,-14.221191,6.0424805,0.0,0.0,0.0,-74.44336,78.777466,31.338501
2026-03-22 17:30:22.330,1774171822330,1774171822330,-1.1269531,-0.13330078,-0.024902344,-2.4414062,11.84082,-1.2817383,0.0,0.0,0.0,-74.44336,78.777466,31.338501
2026-03-22 17:30:22.342,1774171822342,1774171822342,-1.1269531,-0.13330078,-0.024902344,-2.4414062,11.84082,-1.2817383,0.0,0.0,0.0,-80.024414,79.44214,26.971436
2026-03-22 17:30:22.430,1774171822430,1774171822430,-1.1113281,-0.06933594,-0.21191406,-12.329102,21.362305,2.8686523,0.0,0.0,0.0,-80.024414,79.44214,26.971436
2026-03-22 17:30:22.441,1774171822441,1774171822441,-1.1113281,-0.06933594,-0.21191406,-12.329102,21.362305,2.8686523,0.0,0.0,0.0,-88.20923,79.73328,19.797363
2026-03-22 17:30:22.530,1774171822530,1774171822530,-1.012207,-0.1899414,0.13964844,24.658203,57.06787,-2.8686523,0.0,0.0,0.0,-88.20923,79.73328,19.797363
2026-03-22 17:30:22.541,1774171822541,1774171822541,-1.012207,-0.1899414,0.13964844,24.658203,57.06787,-2.8686523,0.0,0.0,0.0,-115.93872,78.81592,-8.432007
2026-03-22 17:30:22.629,1774171822629,1774171822629,-0.7636719,-0.29003906,0.25683594,-1.8920898,2.8076172,-2.1972656,0.0,0.0,0.0,-115.93872,78.81592,-8.432007
2026-03-22 17:30:22.641,1774171822641,1774171822641,-0.7636719,-0.29003906,0.25683594,-1.8920898,2.8076172,-2.1972656,0.0,0.0,0.0,-118.39966,77.041626,-16.743164
2026-03-22 17:30:22.729,1774171822729,1774171822729,-1.0849609,0.071777344,-0.2397461,-65.24658,-110.4126,21.362305,0.0,0.0,0.0,-118.39966,77.041626,-16.743164
2026-03-22 17:30:22.741,1774171822741,1774171822741,-1.0849609,0.071777344,-0.2397461,-65.24658,-110.4126,21.362305,0.0,0.0,0.0,-89.714355,79.29382,9.61853
2026-03-22 17:30:22.829,1774171822829,1774171822829,-0.8745117,-0.10546875,0.059570312,46.75293,15.991211,-4.3945312,0.0,0.0,0.0,-89.714355,79.29382,9.61853
2026-03-22 17:30:22.840,1774171822840,1774171822840,-0.8745117,-0.10546875,0.059570312,46.75293,15.991211,-4.3945312,0.0,0.0,0.0,-87.160034,81.205444,12.55188
2026-03-22 17:30:22.928,1774171822928,1774171822928,-0.9682617,-0.21972656,-0.04296875,19.042969,-3.9672852,7.8125,0.0,0.0,0.0,-87.160034,81.205444,12.55188
2026-03-22 17:30:22.940,1774171822940,1774171822940,-0.9682617,-0.21972656,-0.04296875,19.042969,-3.9672852,7.8125,0.0,0.0,0.0,-76.88782,81.414185,18.424072
2026-03-22 17:30:23.028,1774171823028,1774171823028,-1.1411133,-0.1665039,-0.09082031,-6.3476562,20.141602,4.4555664,0.0,0.0,0.0,-76.88782,81.414185,18.424072
2026-03-22 17:30:23.040,1774171823040,1774171823040,-1.1411133,-0.1665039,-0.09082031,-6.3476562,20.141602,4.4555664,0.0,0.0,0.0,-82.54578,82.05139,12.650757
2026-03-22 17:30:23.128,1774171823128,1774171823128,-1.190918,-0.22998047,-0.10986328,0.061035156,29.174805,-7.9345703,0.0,0.0,0.0,-82.54578,82.05139,12.650757
2026-03-22 17:30:23.139,1774171823139,1774171823139,-1.190918,-0.22998047,-0.10986328,0.061035156,29.174805,-7.9345703,0.0,0.0,0.0,-99.541626,81.639404,-4.586792
2026-03-22 17:30:23.227,1774171823227,1774171823227,-0.9555664,-0.041503906,0.10839844,14.770508,19.16504,-15.74707,0.0,0.0,0.0,-99.541626,81.639404,-4.586792
2026-03-22 17:30:23.239,1774171823239,1774171823239,-0.9555664,-0.041503906,0.10839844,14.770508,19.16504,-15.74707,0.0,0.0,0.0,-115.38391,79.72229,-22.2583
2026-03-22 17:30:23.327,1774171823327,1774171823327,-0.8208008,0.029785156,0.13183594,36.743164,6.591797,-11.71875,0.0,0.0,0.0,-115.38391,79.72229,-22.2583
2026-03-22 17:30:23.339,1774171823339,1774171823339,-0.8208008,0.029785156,0.13183594,36.743164,6.591797,-11.71875,0.0,0.0,0.0,-111.934204,77.93701,-25.922241
2026-03-22 17:30:23.427,1774171823427,1774171823427,-0.98095703,-0.21826172,-0.084472656,9.155273,-44.128418,-2.5024414,0.0,0.0,0.0,-111.934204,77.93701,-25.922241
2026-03-22 17:30:23.438,1774171823438,1774171823438,-0.98095703,-0.21826172,-0.084472656,9.155273,-44.128418,-2.5024414,0.0,0.0,0.0,-93.52112,78.480835,-15.089722
2026-03-22 17:30:23.527,1774171823527,1774171823527,-0.9057617,-0.1430664,-0.01171875,3.3569336,-12.878418,-8.850098,0.0,0.0,0.0,-93.52112,78.480835,-15.089722
2026-03-22 17:30:23.538,1774171823538,1774171823538,-0.9057617,-0.1430664,-0.01171875,3.3569336,-12.878418,-8.850098,0.0,0.0,0.0,-84.57825,78.04138,-8.256226
2026-03-22 17:30:23.626,1774171823626,1774171823626,-1.0253906,-0.14160156,-0.045410156,-10.253906,-17.211914,-0.061035156,0.0,0.0,0.0,-84.57825,78.04138,-8.256226
2026-03-22 17:30:23.638,1774171823638,1774171823638,-1.0253906,-0.14160156,-0.045410156,-10.253906,-17.211914,-0.061035156,0.0,0.0,0.0,-78.76099,77.51953,-2.5323486
2026-03-22 17:30:23.726,1774171823726,1774171823726,-1.1318359,-0.15576172,0.01953125,-10.498047,-0.8544922,-2.1362305,0.0,0.0,0.0,-78.76099,77.51953,-2.5323486
2026-03-22 17:30:23.737,1774171823737,1774171823737,-1.1318359,-0.15576172,0.01953125,-10.498047,-0.8544922,-2.1362305,0.0,0.0,0.0,-76.431885,77.69531,1.505127
2026-03-22 17:30:23.826,1774171823826,1774171823826,-1.2583008,-0.114746094,-0.14404297,-24.780273,39.733887,3.2958984,0.0,0.0,0.0,-76.431885,77.69531,1.505127
2026-03-22 17:30:23.837,1774171823837,1774171823837,-1.2583008,-0.114746094,-0.14404297,-24.780273,39.733887,3.2958984,0.0,0.0,0.0,-86.66016,77.90405,-6.663208
2026-03-22 17:30:23.925,1774171823925,1774171823925,-0.7626953,-0.16796875,0.19042969,11.413574,18.493652,-6.713867,0.0,0.0,0.0,-86.66016,77.90405,-6.663208
2026-03-22 17:30:23.937,1774171823937,1774171823937,-0.7626953,-0.16796875,0.19042969,11.413574,18.493652,-6.713867,0.0,0.0,0.0,-106.474,77.805176,-28.24585
2026-03-22 17:30:24.025,1774171824025,1774171824025,-0.85058594,-0.41552734,0.26757812,-11.230469,-12.512207,7.2631836,0.0,0.0,0.0,-106.474,77.805176,-28.24585
2026-03-22 17:30:24.037,1774171824037,1774171824037,-0.85058594,-0.41552734,0.26757812,-11.230469,-12.512207,7.2631836,0.0,0.0,0.0,-104.04602,77.72827,-28.762207
