DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-03-22 17:21:41.885,1774171301885,1774171301885,-0.9941406,-0.16357422,0.061523438,6.164551,0.48828125,3.2958984,0.0,0.0,0.0,-60.133667,76.03088,-146.28845
2026-03-22 17:21:41.896,1774171301896,1774171301896,-0.9941406,-0.16357422,0.061523438,6.164551,0.48828125,3.2958984,0.0,0.0,0.0,-59.523926,75.80017,-146.86523
2026-03-22 17:21:41.985,1774171301985,1774171301985,-0.95654297,-0.16210938,0.052734375,5.859375,-5.6762695,-3.112793,0.0,0.0,0.0,-59.523926,75.80017,-146.86523
2026-03-22 17:21:41.996,1774171301996,1774171301996,-0.95654297,-0.16210938,0.052734375,5.859375,-5.6762695,-3.112793,0.0,0.0,0.0,-57.81006,75.84412,-145.69519
2026-03-22 17:21:42.085,1774171302085,1774171302085,-0.9868164,-0.2006836,0.056640625,-0.6713867,-3.6010742,-4.0283203,0.0,0.0,0.0,-57.81006,75.84412,-145.69519
2026-03-22 17:21:42.096,1774171302096,1774171302096,-0.9868164,-0.2006836,0.056640625,-0.6713867,-3.6010742,-4.0283203,0.0,0.0,0.0,-56.914673,75.59143,-144.53064
2026-03-22 17:21:42.184,1774171302184,1774171302184,-1.0195312,-0.16113281,0.044921875,-3.2348633,16.845703,-11.291504,0.0,0.0,0.0,-56.914673,75.59143,-144.53064
2026-03-22 17:21:42.196,1774171302196,1774171302196,-1.0195312,-0.16113281,0.044921875,-3.2348633,16.845703,-11.291504,0.0,0.0,0.0,-61.765137,75.33325,-148.4198
2026-03-22 17:21:42.284,1774171302284,1774171302284,-1.0522461,-0.20458984,0.08691406,-6.164551,27.893066,-10.681152,0.0,0.0,0.0,-61.765137,75.33325,-148.4198
2026-03-22 17:21:42.296,1774171302296,1774171302296,-1.0522461,-0.20458984,0.08691406,-6.164551,27.893066,-10.681152,0.0,0.0,0.0,-72.71301,75.55298,-158.56567
2026-03-22 17:21:42.383,1774171302383,1774171302383,-0.97998047,-0.21386719,0.107421875,-3.479004,10.864258,3.90625,0.0,0.0,0.0,-72.71301,75.55298,-158.56567
2026-03-22 17:21:42.395,1774171302395,1774171302395,-0.97998047,-0.21386719,0.107421875,-3.479004,10.864258,3.90625,0.0,0.0,0.0,-79.89807,75.79468,-166.59119
2026-03-22 17:21:42.483,1774171302483,1774171302483,-0.8095703,-0.2944336,0.13671875,-27.22168,8.300781,9.216309,0.0,0.0,0.0,-79.89807,75.79468,-166.59119
2026-03-22 17:21:42.495,1774171302495,1774171302495,-0.8095703,-0.2944336,0.13671875,-27.22168,8.300781,9.216309,0.0,0.0,0.0,-84.23767,76.81641,-170.68909
2026-03-22 17:21:42.583,1774171302583,1774171302583,-0.9868164,-0.2680664,0.125,-36.010742,-19.592285,4.0283203,0.0,0.0,0.0,-84.23767,76.81641,-170.68909
2026-03-22 17:21:42.594,1774171302594,1774171302594,-0.9868164,-0.2680664,0.125,-36.010742,-19.592285,4.0283203,0.0,0.0,0.0,-83.41919,76.87683,-167.90955
2026-03-22 17:21:42.683,1774171302683,1774171302683,-0.9560547,-0.16552734,9.765625E-4,-22.521973,-12.939453,15.075684,0.0,0.0,0.0,-83.41919,76.87683,-167.90955
2026-03-22 17:21:42.694,1774171302694,1774171302694,-0.9560547,-0.16552734,9.765625E-4,-22.521973,-12.939453,15.075684,0.0,0.0,0.0,-75.92651,77.20642,-158.3075
2026-03-22 17:21:42.782,1774171302782,1774171302782,-0.9785156,-0.25195312,0.032226562,-5.859375,-3.8452148,7.2021484,0.0,0.0,0.0,-75.92651,77.20642,-158.3075
2026-03-22 17:21:42.794,1774171302794,1774171302794,-0.9785156,-0.25195312,0.032226562,-5.859375,-3.8452148,7.2021484,0.0,0.0,0.0,-72.509766,78.33252,-153.479
2026-03-22 17:21:42.882,1774171302882,1774171302882,-0.9638672,-0.19482422,0.037109375,12.329102,-6.8969727,-2.1362305,0.0,0.0,0.0,-72.509766,78.33252,-153.479
2026-03-22 17:21:42.893,1774171302893,1774171302893,-0.9638672,-0.19482422,0.037109375,12.329102,-6.8969727,-2.1362305,0.0,0.0,0.0,-70.15869,78.046875,-151.44653
2026-03-22 17:21:42.982,1774171302982,1774171302982,-0.96484375,-0.21777344,0.026367188,17.456055,0.48828125,0.4272461,0.0,0.0,0.0,-70.15869,78.046875,-151.44653
2026-03-22 17:21:42.993,1774171302993,1774171302993,-0.96484375,-0.21777344,0.026367188,17.456055,0.48828125,0.4272461,0.0,0.0,0.0,-67.72522,78.0249,-150.23254
2026-03-22 17:21:43.081,1774171303081,1774171303081,-0.99316406,-0.20166016,-0.0078125,24.902344,2.6245117,-11.657715,0.0,0.0,0.0,-67.72522,78.0249,-150.23254
2026-03-22 17:21:43.093,1774171303093,1774171303093,-0.99316406,-0.20166016,-0.0078125,24.902344,2.6245117,-11.657715,0.0,0.0,0.0,-67.14844,77.51404,-151.26526
2026-03-22 17:21:43.181,1774171303181,1774171303181,-1.0820312,-0.30029297,0.123535156,-6.286621,13.85498,-12.878418,0.0,0.0,0.0,-67.14844,77.51404,-151.26526
2026-03-22 17:21:43.193,1774171303193,1774171303193,-1.0820312,-0.30029297,0.123535156,-6.286621,13.85498,-12.878418,0.0,0.0,0.0,-73.05908,76.65161,-157.86255
2026-03-22 17:21:43.281,1774171303281,1774171303281,-0.98535156,-0.1484375,0.16601562,-4.8217773,-8.7890625,5.6762695,0.0,0.0,0.0,-73.05908,76.65161,-157.86255
2026-03-22 17:21:43.292,1774171303292,1774171303292,-0.98535156,-0.1484375,0.16601562,-4.8217773,-8.7890625,5.6762695,0.0,0.0,0.0,-74.61365,76.294556,-159.46106
2026-03-22 17:21:43.381,1774171303381,1774171303381,-0.9345703,-0.19824219,0.04345703,12.756348,23.55957,4.333496,0.0,0.0,0.0,-74.61365,76.294556,-159.46106
2026-03-22 17:21:43.392,1774171303392,1774171303392,-0.9345703,-0.19824219,0.04345703,12.756348,23.55957,4.333496,0.0,0.0,0.0,-74.18518,77.40967,-159.77417
