DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-03-20 00:26:17.047,1773937577047,1773937577047,-0.98828125,-0.14111328,0.09277344,0.18310547,-0.24414062,0.61035156,0.0,0.0,0.0,-56.38733,80.007935,35.029907
2026-03-20 00:26:17.059,1773937577059,1773937577059,-0.98828125,-0.14111328,0.09277344,0.18310547,-0.24414062,0.61035156,0.0,0.0,0.0,-56.365356,80.05188,35.040894
2026-03-20 00:26:17.147,1773937577147,1773937577147,-0.9848633,-0.14355469,0.09716797,0.7324219,-0.12207031,0.18310547,0.0,0.0,0.0,-56.365356,80.05188,35.040894
2026-03-20 00:26:17.159,1773937577159,1773937577159,-0.9848633,-0.14355469,0.09716797,0.7324219,-0.12207031,0.18310547,0.0,0.0,0.0,-56.189575,80.05188,35.18921
2026-03-20 00:26:17.247,1773937577247,1773937577247,-0.9863281,-0.14697266,0.096191406,0.061035156,-0.12207031,0.24414062,0.0,0.0,0.0,-56.189575,80.05188,35.18921
2026-03-20 00:26:17.258,1773937577258,1773937577258,-0.9863281,-0.14697266,0.096191406,0.061035156,-0.12207031,0.24414062,0.0,0.0,0.0,-55.93689,80.04089,35.386963
2026-03-20 00:26:17.347,1773937577347,1773937577347,-0.9863281,-0.14648438,0.09863281,-0.91552734,0.6713867,0.9765625,0.0,0.0,0.0,-55.93689,80.04089,35.386963
2026-03-20 00:26:17.358,1773937577358,1773937577358,-0.9863281,-0.14648438,0.09863281,-0.91552734,0.6713867,0.9765625,0.0,0.0,0.0,-55.788574,80.09033,35.60669
2026-03-20 00:26:17.446,1773937577446,1773937577446,-0.9863281,-0.13964844,0.095703125,0.18310547,1.4038086,0.7324219,0.0,0.0,0.0,-55.788574,80.09033,35.60669
2026-03-20 00:26:17.458,1773937577458,1773937577458,-0.9863281,-0.13964844,0.095703125,0.18310547,1.4038086,0.7324219,0.0,0.0,0.0,-56.04126,80.16724,35.34851
2026-03-20 00:26:17.546,1773937577546,1773937577546,-0.98535156,-0.14257812,0.09667969,2.0141602,0.48828125,0.30517578,0.0,0.0,0.0,-56.04126,80.16724,35.34851
2026-03-20 00:26:17.557,1773937577557,1773937577557,-0.98535156,-0.14257812,0.09667969,2.0141602,0.48828125,0.30517578,0.0,0.0,0.0,-56.29944,80.233154,34.89258
2026-03-20 00:26:17.646,1773937577646,1773937577646,-0.9921875,-0.14208984,0.09765625,1.5258789,0.24414062,0.36621094,0.0,0.0,0.0,-56.29944,80.233154,34.89258
2026-03-20 00:26:17.657,1773937577657,1773937577657,-0.9921875,-0.14208984,0.09765625,1.5258789,0.24414062,0.36621094,0.0,0.0,0.0,-55.62378,80.25513,35.34851
2026-03-20 00:26:17.745,1773937577745,1773937577745,-0.99072266,-0.14013672,0.09814453,1.2817383,0.48828125,0.48828125,0.0,0.0,0.0,-55.62378,80.25513,35.34851
2026-03-20 00:26:17.757,1773937577757,1773937577757,-0.99072266,-0.14013672,0.09814453,1.2817383,0.48828125,0.48828125,0.0,0.0,0.0,-55.59082,80.26062,35.194702
2026-03-20 00:26:17.845,1773937577845,1773937577845,-0.9838867,-0.13720703,0.099121094,1.4038086,-0.36621094,-0.18310547,0.0,0.0,0.0,-55.59082,80.26062,35.194702
2026-03-20 00:26:17.857,1773937577857,1773937577857,-0.9838867,-0.13720703,0.099121094,1.4038086,-0.36621094,-0.18310547,0.0,0.0,0.0,-55.32715,80.20569,35.359497
2026-03-20 00:26:17.945,1773937577945,1773937577945,-0.9921875,-0.125,0.09277344,-2.0141602,0.61035156,0.91552734,0.0,0.0,0.0,-55.32715,80.20569,35.359497
2026-03-20 00:26:17.956,1773937577956,1773937577956,-0.9921875,-0.125,0.09277344,-2.0141602,0.61035156,0.91552734,0.0,0.0,0.0,-54.78882,80.20569,35.859375
2026-03-20 00:26:18.045,1773937578045,1773937578045,-0.9819336,-0.14550781,0.10644531,-2.0141602,-1.5258789,-0.48828125,0.0,0.0,0.0,-54.78882,80.20569,35.859375
2026-03-20 00:26:18.056,1773937578056,1773937578056,-0.9819336,-0.14550781,0.10644531,-2.0141602,-1.5258789,-0.48828125,0.0,0.0,0.0,-54.25598,80.17273,36.727295
