DateTime,UnixTimestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Roll,Pitch,Yaw
2026-02-19 23:04:45.432,1771513485432,1771513485432,-0.97753906,-0.15478516,0.17578125,0.91552734,1.6479492,-0.6713867,0.0,0.0,0.0,-40.352783,76.311035,105.68848
2026-02-19 23:04:45.532,1771513485532,1771513485532,-0.9707031,-0.15185547,0.18115234,1.2207031,2.380371,-0.8544922,0.0,0.0,0.0,-41.21521,76.43738,104.628296
2026-02-19 23:04:45.631,1771513485631,1771513485631,-0.9716797,-0.1538086,0.17236328,0.79345703,1.7089844,-0.48828125,0.0,0.0,0.0,-41.726074,76.503296,103.96362
2026-02-19 23:04:45.731,1771513485731,1771513485731,-0.97509766,-0.15283203,0.17236328,0.30517578,1.3427734,-0.36621094,0.0,0.0,0.0,-42.214966,76.58569,103.392334
2026-02-19 23:04:45.831,1771513485831,1771513485831,-0.97314453,-0.15332031,0.16748047,0.61035156,1.5869141,-0.36621094,0.0,0.0,0.0,-42.539062,76.63513,102.98035
2026-02-19 23:04:45.931,1771513485931,1771513485931,-0.9741211,-0.15234375,0.16455078,-1.0375977,0.4272461,0.18310547,0.0,0.0,0.0,-42.714844,76.66809,102.78259
2026-02-19 23:04:46.030,1771513486030,1771513486030,-0.9814453,-0.15429688,0.16552734,-0.9765625,0.0,0.061035156,0.0,0.0,0.0,-42.819214,76.69006,102.59033
2026-02-19 23:04:46.130,1771513486130,1771513486130,-0.9711914,-0.1538086,0.17236328,0.24414062,0.4272461,0.0,0.0,0.0,0.0,-43.12683,76.75049,102.23877
2026-02-19 23:04:46.230,1771513486230,1771513486230,-0.9746094,-0.1538086,0.16796875,0.061035156,-0.12207031,0.0,0.0,0.0,0.0,-43.00049,76.73401,102.34314
2026-02-19 23:04:46.329,1771513486329,1771513486329,-0.97802734,-0.1538086,0.1665039,0.36621094,0.30517578,-0.061035156,0.0,0.0,0.0,-43.033447,76.744995,102.27722
2026-02-19 23:04:46.429,1771513486429,1771513486429,-0.9707031,-0.1538086,0.16699219,-0.24414062,-0.6713867,0.18310547,0.0,0.0,0.0,-42.907104,76.71753,102.403564
2026-02-19 23:04:46.529,1771513486529,1771513486529,-0.9746094,-0.15234375,0.16748047,-0.48828125,-1.5869141,0.24414062,0.0,0.0,0.0,-42.56653,76.65161,102.76062
2026-02-19 23:04:46.629,1771513486629,1771513486629,-0.9716797,-0.15527344,0.17333984,0.5493164,-1.2207031,0.0,0.0,0.0,0.0,-42.182007,76.5802,103.14514
2026-02-19 23:04:46.728,1771513486728,1771513486728,-0.97265625,-0.15039062,0.1743164,-0.48828125,-1.159668,0.12207031,0.0,0.0,0.0,-41.764526,76.48682,103.63403
2026-02-19 23:04:46.828,1771513486828,1771513486828,-0.9741211,-0.1508789,0.1796875,0.0,-0.61035156,-0.12207031,0.0,0.0,0.0,-41.451416,76.40442,103.94165
2026-02-19 23:04:46.928,1771513486928,1771513486928,-0.97265625,-0.15234375,0.17333984,-0.36621094,0.36621094,0.12207031,0.0,0.0,0.0,-41.16028,76.343994,104.33716
2026-02-19 23:04:47.028,1771513487028,1771513487028,-0.9746094,-0.15625,0.17480469,-0.48828125,-1.6479492,0.24414062,0.0,0.0,0.0,-40.93506,76.30005,104.55139
2026-02-19 23:04:47.127,1771513487127,1771513487127,-0.9682617,-0.15283203,0.18164062,0.12207031,0.0,0.0,0.0,0.0,0.0,-40.786743,76.26709,104.732666
2026-02-19 23:04:47.227,1771513487227,1771513487227,-0.97314453,-0.15283203,0.17236328,-0.30517578,0.18310547,0.061035156,0.0,0.0,0.0,-40.60547,76.239624,105.007324
2026-02-19 23:04:47.327,1771513487327,1771513487327,-0.97216797,-0.15429688,0.17871094,-1.2207031,-0.79345703,0.5493164,0.0,0.0,0.0,-40.534058,76.24512,105.14465
2026-02-19 23:04:47.427,1771513487427,1771513487427,-0.97314453,-0.15283203,0.17919922,-1.2817383,-0.7324219,0.61035156,0.0,0.0,0.0,-40.29785,76.23413,105.52368
2026-02-19 23:04:47.526,1771513487526,1771513487526,-0.9736328,-0.15283203,0.1796875,-0.61035156,-0.6713867,0.36621094,0.0,0.0,0.0,-40.149536,76.22864,105.79285
2026-02-19 23:04:47.626,1771513487626,1771513487626,-0.9663086,-0.15576172,0.17578125,-0.18310547,-1.159668,0.061035156,0.0,0.0,0.0,-39.803467,76.16821,106.21582
2026-02-19 23:04:47.725,1771513487725,1771513487725,-0.97753906,-0.15429688,0.17822266,-1.4648438,-2.4414062,0.8544922,0.0,0.0,0.0,-39.561768,76.118774,106.49048
2026-02-19 23:04:47.825,1771513487825,1771513487825,-0.96972656,-0.14990234,0.19091797,0.6713867,0.12207031,0.0,0.0,0.0,0.0,-39.35852,76.0968,106.75415
2026-02-19 23:04:47.925,1771513487925,1771513487925,-0.9707031,-0.14941406,0.18115234,-0.18310547,0.061035156,0.18310547,0.0,0.0,0.0,-39.067383,76.05286,107.07825
2026-02-19 23:04:48.025,1771513488025,1771513488025,-0.97265625,-0.15283203,0.18066406,-0.91552734,-1.3427734,0.48828125,0.0,0.0,0.0,-38.897095,76.02539,107.24304
2026-02-19 23:04:48.124,1771513488124,1771513488124,-0.97021484,-0.14892578,0.19042969,0.30517578,0.4272461,-0.12207031,0.0,0.0,0.0,-38.935547,76.04187,107.21008
2026-02-19 23:04:48.224,1771513488224,1771513488224,-0.97216797,-0.14892578,0.18310547,0.061035156,0.061035156,-0.061035156,0.0,0.0,0.0,-38.825684,76.02539,107.32544
2026-02-19 23:04:48.324,1771513488324,1771513488324,-0.9707031,-0.15136719,0.18554688,-0.24414062,-0.12207031,0.0,0.0,0.0,0.0,-38.83667,76.0199,107.28699
2026-02-19 23:04:48.424,1771513488424,1771513488424,-0.9716797,-0.14990234,0.18261719,-0.24414062,0.0,0.0,0.0,0.0,0.0,-38.825684,76.014404,107.281494
2026-02-19 23:04:48.523,1771513488523,1771513488523,-0.97265625,-0.15039062,0.18798828,-0.12207031,0.48828125,0.0,0.0,0.0,0.0,-38.88611,76.0199,107.18811
2026-02-19 23:04:48.623,1771513488623,1771513488623,-0.97314453,-0.1508789,0.1772461,-0.8544922,-0.48828125,0.30517578,0.0,0.0,0.0,-38.792725,75.981445,107.265015
2026-02-19 23:04:48.723,1771513488723,1771513488723,-0.9716797,-0.15234375,0.18798828,-0.30517578,-0.79345703,0.18310547,0.0,0.0,0.0,-38.875122,76.00891,107.10571
2026-02-19 23:04:48.823,1771513488823,1771513488823,-0.96972656,-0.14892578,0.18945312,0.61035156,0.6713867,-0.24414062,0.0,0.0,0.0,-38.80371,75.997925,107.17163
2026-02-19 23:04:48.922,1771513488922,1771513488922,-0.9716797,-0.14990234,0.1796875,0.0,0.30517578,-0.12207031,0.0,0.0,0.0,-38.759766,75.981445,107.20459
2026-02-19 23:04:49.022,1771513489022,1771513489022,-0.9707031,-0.1508789,0.18896484,-0.18310547,-0.36621094,0.061035156,0.0,0.0,0.0,-38.847656,75.997925,107.07825
2026-02-19 23:04:49.122,1771513489122,1771513489122,-0.97021484,-0.14941406,0.18847656,0.061035156,0.18310547,-0.12207031,0.0,0.0,0.0,-38.842163,75.981445,107.05078
2026-02-19 23:04:49.222,1771513489222,1771513489222,-0.97265625,-0.15136719,0.18457031,0.18310547,0.5493164,-0.12207031,0.0,0.0,0.0,-38.897095,75.99243,106.94641
2026-02-19 23:04:49.321,1771513489321,1771513489321,-0.97314453,-0.15332031,0.18164062,0.4272461,0.30517578,-0.12207031,0.0,0.0,0.0,-39.039917,76.0199,106.726685
2026-02-19 23:04:49.421,1771513489421,1771513489421,-0.9682617,-0.15527344,0.1796875,0.6713867,1.4038086,-0.4272461,0.0,0.0,0.0,-39.34204,76.09131,106.33118
2026-02-19 23:04:49.520,1771513489520,1771513489520,-0.9794922,-0.15527344,0.16796875,-0.36621094,0.24414062,0.061035156,0.0,0.0,0.0,-39.605713,76.135254,105.95764
2026-02-19 23:04:49.620,1771513489620,1771513489620,-0.9682617,-0.15039062,0.18554688,1.8310547,3.540039,-0.79345703,0.0,0.0,0.0,-40.29785,76.294556,105.16113
2026-02-19 23:04:49.720,1771513489720,1771513489720,-0.9741211,-0.15234375,0.17138672,0.0,1.953125,-0.30517578,0.0,0.0,0.0,-40.775757,76.38794,104.573364
2026-02-19 23:04:49.820,1771513489820,1771513489820,-0.97753906,-0.15576172,0.17333984,0.61035156,1.5258789,-0.36621094,0.0,0.0,0.0,-41.42395,76.50879,103.776855
2026-02-19 23:04:49.920,1771513489920,1771513489920,-0.9736328,-0.15429688,0.17138672,0.8544922,1.6479492,-0.48828125,0.0,0.0,0.0,-41.97876,76.58569,103.07922
2026-02-19 23:04:50.019,1771513490019,1771513490019,-0.9741211,-0.1538086,0.16796875,0.5493164,1.4038086,-0.48828125,0.0,0.0,0.0,-42.418213,76.64612,102.52991
2026-02-19 23:04:50.119,1771513490119,1771513490119,-0.97558594,-0.15429688,0.1665039,0.5493164,1.0375977,-0.30517578,0.0,0.0,0.0,-42.764282,76.70105,102.06848
2026-02-19 23:04:50.219,1771513490219,1771513490219,-0.9741211,-0.15429688,0.1665039,0.5493164,1.2207031,-0.30517578,0.0,0.0,0.0,-43.115845,76.761475,101.61255
2026-02-19 23:04:50.318,1771513490318,1771513490318,-0.9746094,-0.15332031,0.16503906,-0.4272461,0.4272461,0.0,0.0,0.0,0.0,-43.324585,76.78894,101.36536
2026-02-19 23:04:50.418,1771513490418,1771513490418,-0.9794922,-0.15332031,0.16699219,-0.48828125,0.30517578,-0.061035156,0.0,0.0,0.0,-43.450928,76.79993,101.14563
2026-02-19 23:04:50.518,1771513490518,1771513490518,-0.97216797,-0.15429688,0.16601562,0.5493164,1.3427734,-0.18310547,0.0,0.0,0.0,-43.703613,76.849365,100.859985
