time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,0.318929,0.299114,0.899334,0.003666,1,0,0,-0,-0,0,-0,-0.024931,-0.001204,0.007679,0.654405,0.679799,-0.407162,-12.65437,33.318108,20.092573,-8.372145,-22.658054,-23.269897,7.35175
0.01001,0.321152,0.296921,0.899271,0.003201,0.999995,-0.001783,-0.001888,0.001797,-0.003572,-0.00377,0.003601,-0.002013,0.019661,-0.000947,0.663109,0.724735,-0.396132,-12.65437,33.318108,20.092573,-11.224319,-23.771097,-23.756855,7.35175
0.02002,0.323239,0.29444,0.899341,0.002852,0.999979,-0.003512,-0.003647,0.00393,-0.007053,-0.007267,0.007886,-0.000037,0.034681,-0.029967,0.699218,0.747669,-0.367342,-12.736368,33.318108,20.092573,-12.824318,-22.310228,-27.026419,7.601758
0.03003,0.324962,0.291691,0.899617,0.002381,0.999953,-0.005329,-0.004978,0.006329,-0.010721,-0.009888,0.012711,-0.002377,0.053736,-0.045381,0.733476,0.775452,-0.352573,-12.736368,33.318108,20.092573,-11.224319,-18.48414,-31.061203,7.501755
0.04004,0.326353,0.288501,0.900143,0.001804,0.999914,-0.007283,-0.0059,0.009166,-0.014675,-0.011665,0.018419,-0.015475,0.052493,-0.060671,0.763105,0.776384,-0.340795,-13.310349,33.142555,20.516207,-10.598231,-14.658054,-36.904682,7.864266
0.05005,0.327733,0.284801,0.900821,0.00117,0.999855,-0.009449,-0.006749,0.012488,-0.019067,-0.013261,0.025105,-0.000265,0.057171,-0.047293,0.754031,0.805472,-0.337617,-13.310349,33.142555,20.516207,-11.850406,-14.101533,-42.817722,7.626759
0.06006,0.329334,0.280587,0.90156,0.000483,0.999767,-0.011893,-0.007764,0.016274,-0.024037,-0.015137,0.032735,0.006205,0.063292,0.011799,0.714218,0.843136,-0.384541,-13.146355,33.230331,20.516207,-14.006927,-15.910228,-48.382942,7.614258
0.07007,0.331526,0.275562,0.902306,0.000235,0.999633,-0.014377,-0.009441,0.020929,-0.029147,-0.018274,0.042135,-0.023234,0.033309,-0.012895,0.729588,0.809387,-0.378185,-13.146355,33.230331,20.516207,-23.537361,-20.710228,-55.269897,7.739262
0.08008,0.333676,0.270393,0.903077,0.000282,0.999466,-0.016628,-0.011161,0.025816,-0.033829,-0.021453,0.052011,-0.033497,-0.050319,-0.130175,0.76829,0.707767,-0.262838,-14.048326,32.879223,21.194021,-26.806927,-21.26675,-56.661201,7.614258
0.09009,0.335769,0.265768,0.903673,0.001072,0.999289,-0.018021,-0.013107,0.030398,-0.036833,-0.025103,0.061283,-0.064259,0.027076,-0.078425,0.801622,0.773401,-0.331074,-14.048326,32.879223,21.194021,-32.372143,-17.510229,-46.991638,7.826765
0.1001,0.337252,0.26186,0.90426,0.002128,0.999125,-0.018764,-0.014584,0.034419,-0.038523,-0.027854,0.069408,-0.006864,0.084519,-0.065295,0.790141,0.867376,-0.309014,-14.54031,32.528118,21.363474,-30.424318,-10.20588,-38.295986,7.614258
0.11011,0.338693,0.256526,0.905242,0.004315,0.99888,-0.018933,-0.01624,0.040203,-0.039158,-0.030927,0.081058,-0.021154,-0.014431,0.009835,0.699404,0.795216,-0.355003,-14.54031,32.528118,21.363474,-47.746059,-4.918924,-49.982941,7.614258
0.12012,0.340047,0.249987,0.906543,0.007345,0.998538,-0.018703,-0.017973,0.047434,-0.039089,-0.034126,0.095602,0.012994,-0.122895,-0.079062,0.671812,0.695834,-0.229001,-15.196289,31.825901,21.787109,-60.406929,-4.362402,-61.809029,7.814264
0.13013,0.340901,0.242891,0.908125,0.009932,0.99812,-0.018901,-0.019036,0.05511,-0.039865,-0.035925,0.111032,-0.02156,-0.038222,-0.038525,0.701626,0.767061,-0.283963,-15.196289,31.825901,21.787109,-56.928665,3.637598,-68.974243,7.751762
0.14014,0.341141,0.23441,0.910225,0.01288,0.997558,-0.019033,-0.019496,0.064305,-0.040519,-0.036456,0.129486,0.024981,-0.195044,-0.037663,0.582556,0.640269,-0.215167,-16.098261,31.03591,22.464922,-64.163452,13.446294,-83.16555,7.864266
0.15015,0.340478,0.2259,0.912579,0.015571,0.996929,-0.019138,-0.018984,0.073523,-0.040986,-0.035045,0.147951,0.120056,-0.124321,0.002552,0.500337,0.752704,-0.175721,-16.098261,31.03591,22.464922,-58.667797,22.768032,-84.278595,7.626759
0.16016,0.339552,0.217412,0.914924,0.018739,0.996215,-0.018728,-0.018383,0.082872,-0.040394,-0.033529,0.166669,0.148634,-0.14514,-0.030106,0.466449,0.738906,-0.104307,-17.492214,29.894808,23.05801,-62.56345,26.524555,-82.12207,7.639259
0.17017,0.33774,0.208881,0.917518,0.021458,0.995428,-0.018471,-0.01677,0.092194,-0.039893,-0.029986,0.185306,0.19344,-0.119457,-0.021123,0.411451,0.783656,-0.058505,-17.492214,29.894808,23.05801,-55.328667,35.498466,-84.278595,7.489254
0.18018,0.335523,0.201847,0.919821,0.024728,0.9947,-0.017118,-0.015046,0.10026,-0.037094,-0.026503,0.201402,0.152087,-0.026778,-0.021556,0.456264,0.861968,-0.069161,-18.476183,28.929262,23.820551,-52.824318,37.237598,-65.07859,7.514255
0.19019,0.332341,0.196071,0.922131,0.027925,0.994047,-0.015142,-0.012424,0.107176,-0.03278,-0.021457,0.215158,0.092939,-0.028526,-0.041734,0.496263,0.840899,-0.068787,-18.476183,28.929262,23.820551,-45.311275,46.281075,-53.391636,7.464254
0.2002,0.329253,0.190403,0.92434,0.030585,0.993363,-0.013642,-0.009759,0.113794,-0.029332,-0.016285,0.228354,0.094374,-0.14512,0.014183,0.397007,0.737787,-0.086921,-19.378155,28.139271,23.820551,-41.485188,47.811512,-53.461201,7.876766
0.21021,0.325724,0.186608,0.926283,0.032868,0.992859,-0.011751,-0.006663,0.11853,-0.024917,-0.010445,0.23777,0.128609,-0.13351,-0.008229,0.371453,0.749348,-0.031398,-19.378155,28.139271,23.820551,-29.311275,49.759338,-34.330769,7.376751
0.22022,0.322283,0.18291,0.928139,0.035164,0.992332,-0.009843,-0.003677,0.123155,-0.020442,-0.004872,0.247001,0.127035,-0.163475,-0.003334,0.338676,0.712056,-0.017938,-20.526117,27.261501,23.905277,-29.51997,48.854988,-33.078594,7.68926
0.23023,0.318437,0.179075,0.930124,0.037395,0.991752,-0.007916,-0.000266,0.127924,-0.015771,0.001497,0.256547,0.078962,-0.237774,-0.018142,0.337565,0.605775,-0.017377,-20.526117,27.261501,23.905277,-28.754753,53.93325,-35.16555,7.614258
0.24024,0.314159,0.176153,0.932054,0.039375,0.991256,-0.005795,0.003593,0.131776,-0.010542,0.008651,0.264281,0.092046,-0.207411,-0.009088,0.31627,0.623488,-0.004664,-20.854107,26.471508,23.905277,-21.867796,57.481075,-25.982941,7.851766
0.25025,0.30966,0.173774,0.933928,0.041131,0.990802,-0.003635,0.007703,0.135052,-0.005124,0.016247,0.270901,-0.046052,-0.295739,-0.029746,0.297752,0.640083,-0.025042,-20.854107,26.471508,23.905277,-17.137362,59.081078,-20.695984,7.876766
0.26026,0.305172,0.171734,0.935714,0.042626,0.990372,-0.001606,0.011854,0.137915,0.000088,0.023926,0.276732,-0.019834,-0.28179,0.01375,0.256827,0.669916,-0.040745,-21.34609,25.769293,23.820551,-13.24171,58.176727,-17.635115,7.489254
0.27027,0.300762,0.169791,0.937438,0.043842,0.98994,0.000181,0.015999,0.140582,0.004859,0.031631,0.282211,-0.029614,-0.301189,0.032275,0.245717,0.653135,-0.057383,-21.34609,25.769293,23.820551,-10.18084,56.646294,-17.495985,7.68926
0.28028,0.296427,0.167948,0.939109,0.044721,0.989511,0.001674,0.020162,0.143036,0.009088,0.039432,0.287294,-0.034104,-0.274712,0.028313,0.258864,0.676815,-0.054018,-21.34609,25.418184,23.820551,-6.354753,54.97673,-17.495985,7.726762
0.29029,0.292076,0.165963,0.940793,0.045355,0.989046,0.002906,0.024414,0.145542,0.01287,0.047466,0.292516,-0.035185,-0.252485,0.055333,0.250902,0.703292,-0.074209,-21.34609,25.418184,23.820551,-4.198231,54.97673,-19.722071,7.35175
0.3003,0.287754,0.163683,0.942503,0.045758,0.988526,0.003828,0.028718,0.148248,0.016109,0.05567,0.298168,-0.065558,-0.286369,0.083575,0.246087,0.668984,-0.111598,-22.330059,24.9793,23.481644,-2.876492,54.489773,-23.82642,7.67676
0.31031,0.283522,0.161487,0.944154,0.045937,0.988005,0.004549,0.032989,0.15079,0.018977,0.063859,0.30351,-0.080121,-0.272933,0.074413,0.264975,0.677002,-0.109729,-22.330059,24.9793,23.481644,-0.372144,52.889771,-23.617723,7.276748
0.32032,0.279361,0.159363,0.945759,0.045833,0.987485,0.005016,0.037266,0.153162,0.021379,0.072126,0.308525,-0.081375,-0.255294,0.074188,0.269975,0.694342,-0.108233,-22.822044,24.540415,22.803829,2.758291,51.359337,-23.687288,7.614258
0.33033,0.275359,0.157394,0.947273,0.045599,0.98698,0.005369,0.041411,0.155325,0.023541,0.080162,0.313132,-0.068587,-0.244196,0.067346,0.264975,0.70814,-0.093838,-22.822044,24.540415,22.803829,4.358291,49.063686,-22.295984,7.739262
0.34034,0.271553,0.155749,0.948657,0.045289,0.986518,0.005699,0.045362,0.157134,0.025602,0.087823,0.317034,-0.044845,-0.213192,0.052798,0.261457,0.742262,-0.067479,-23.150034,24.277084,22.719103,5.888725,46.21151,-18.748159,7.614258
0.35035,0.267905,0.154245,0.94996,0.044847,0.986075,0.005909,0.049185,0.15875,0.027396,0.095267,0.32055,-0.014581,-0.172796,0.040463,0.25405,0.787385,-0.039997,-23.150034,24.277084,22.719103,7.627856,43.985424,-17.287289,7.639259
0.36036,0.2644,0.152975,0.95117,0.044355,0.985664,0.006105,0.052865,0.160109,0.029119,0.102439,0.323556,-0.016822,-0.172417,0.054997,0.247013,0.790182,-0.052897,-23.478024,23.662645,22.54965,8.532204,42.037598,-14.782941,7.276748
0.37037,0.261055,0.151887,0.952295,0.043751,0.985282,0.006211,0.056409,0.161244,0.030618,0.109373,0.326106,-0.02616,-0.137061,0.054374,0.26442,0.821693,-0.056636,-23.478024,23.662645,22.54965,10.062638,39.950642,-12.835115,7.614258
0.38038,0.257729,0.151064,0.953365,0.043015,0.984934,0.006278,0.059959,0.162082,0.032026,0.116338,0.328063,-0.027609,-0.146716,0.068505,0.254605,0.814794,-0.069535,-23.478024,23.662645,22.041288,12.080029,39.25499,-10.330768,7.851766
0.39039,0.254585,0.150669,0.954307,0.042234,0.984657,0.006387,0.063319,0.162481,0.033412,0.122929,0.329134,-0.05079,-0.088751,0.074074,0.288493,0.864765,-0.085986,-23.478024,23.662645,22.041288,13.540899,37.168034,-5.113376,7.364251
