time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,0.098767,0.45896,0.792948,0.388374,1,0,0,-0,0,0,-0,-0.022168,-0.004698,0.00166,0.9031,0.116694,0.360443,-7.898523,19.53713,24.328913,2.109763,-0.615028,-1.893695,7.026741
0.01001,0.098811,0.458866,0.793082,0.388199,1,-0.000221,0.000021,0.000102,-0.000441,0.000043,0.000203,-0.011953,-0.003501,0.001061,0.901989,0.116321,0.358574,-7.898523,19.53713,24.328913,2.109763,-0.684718,-1.754565,7.026741
0.02002,0.098855,0.458774,0.793213,0.38803,1,-0.000435,0.000041,0.000201,-0.00087,0.000083,0.000403,-0.008919,-0.000836,0.001431,0.904766,0.117254,0.3582,-7.898523,19.800461,23.735825,1.970633,-0.6849,-1.754565,6.939238
0.03003,0.098867,0.458702,0.793377,0.387776,1,-0.000713,0.000137,0.000304,-0.001425,0.000274,0.000607,-0.007041,0.001396,0.0015,0.907359,0.118559,0.358761,-7.898523,19.800461,23.735825,3.083676,-0.893663,-1.684999,7.201746
0.04004,0.098871,0.458596,0.793582,0.387482,0.999999,-0.001037,0.000247,0.000452,-0.002074,0.000496,0.000903,-0.006804,0.000391,-0.00162,0.906803,0.115389,0.359696,-7.734529,19.888237,23.905277,3.640198,-0.824164,-2.241521,7.126743
0.05005,0.098858,0.458488,0.793803,0.38716,0.999999,-0.001383,0.000386,0.000611,-0.002766,0.000773,0.001221,-0.004077,0.000139,-0.005553,0.904581,0.113525,0.363809,-7.734529,19.888237,23.905277,4.057589,-0.824288,-2.311086,7.051741
0.06006,0.09887,0.458397,0.793985,0.386891,0.999998,-0.001681,0.000482,0.000736,-0.003362,0.000967,0.001471,-0.002027,0.000813,-0.009104,0.903285,0.11166,0.368482,-7.734529,19.888237,23.905277,3.292372,-0.89392,-2.032825,7.101743
0.07007,0.098927,0.458296,0.794123,0.386712,0.999998,-0.001913,0.000494,0.00084,-0.003825,0.00099,0.001678,-0.00366,0.001862,-0.003623,0.906618,0.114457,0.364556,-7.734529,19.888237,23.905277,2.040198,-0.824536,-1.96326,6.889236
0.08008,0.09893,0.458197,0.794281,0.386504,0.999997,-0.00215,0.000564,0.000969,-0.0043,0.001132,0.001935,-0.004182,0.003628,-0.000376,0.909766,0.117067,0.362874,-7.898523,19.976015,23.820551,2.666285,-0.476949,-1.82413,7.326749
0.09009,0.098982,0.458083,0.794417,0.386347,0.999996,-0.002364,0.000563,0.001086,-0.004726,0.001132,0.00217,-0.005218,0.002098,-0.002018,0.909396,0.114643,0.3625,-7.898523,19.976015,23.820551,1.831502,-0.61626,-2.032825,6.976739
0.1001,0.099038,0.457952,0.794555,0.386205,0.999996,-0.002568,0.000547,0.001218,-0.005135,0.001101,0.002433,-0.005176,0.000265,-0.00188,0.908285,0.114084,0.361191,-7.898523,19.624907,23.820551,1.692372,-0.47708,-2.171956,6.776733
0.11011,0.099112,0.457806,0.794703,0.386055,0.999995,-0.002793,0.000515,0.001357,-0.005585,0.001038,0.002712,-0.004749,0.000701,-0.002332,0.908655,0.114084,0.361752,-7.898523,19.624907,23.820551,1.692372,-0.616219,-2.450217,7.026741
0.12012,0.099205,0.457665,0.794829,0.385937,0.999994,-0.002992,0.000453,0.00148,-0.005982,0.000916,0.002957,-0.003677,-0.000953,-0.001579,0.906989,0.11483,0.36063,-7.980521,20.063791,23.481644,1.13585,-0.685792,-2.380652,6.876736
0.13013,0.099302,0.457538,0.794952,0.38581,0.999994,-0.003198,0.000398,0.001587,-0.006394,0.000806,0.003171,-0.001456,-0.001265,0.003834,0.906618,0.12061,0.357265,-7.980521,20.063791,23.481644,1.205415,-0.824874,-2.241521,7.01424
0.14014,0.099387,0.4574,0.795097,0.385654,0.999993,-0.00343,0.000363,0.001714,-0.006859,0.000737,0.003425,-0.000497,-0.001456,0.004554,0.906063,0.122475,0.356518,-7.898523,19.624907,23.905277,1.692372,-0.755202,-2.380652,7.239247
0.15015,0.099456,0.457261,0.79526,0.385463,0.999991,-0.003691,0.000357,0.001854,-0.00738,0.000729,0.003705,0.000667,-0.000271,0.00646,0.906803,0.126017,0.35577,-7.898523,19.624907,23.905277,2.179328,-0.755096,-2.450217,7.151744
