time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,0.081048,0.445217,0.814139,0.363856,1,0,0,0,0,0,0,-0.023396,-0.00485,0.000381,0.894952,0.151935,0.372034,-9.86646,15.148283,23.735825,4.130276,-1.614742,-1.09185,7.401752
0.01001,0.08113,0.445197,0.814232,0.363652,1,-0.000238,0.000024,0.000012,-0.000476,0.000048,0.000023,-0.01195,-0.00289,0.001217,0.894582,0.153613,0.370165,-9.86646,15.148283,23.735825,2.32158,-1.475219,-0.88303,7.401752
0.02002,0.081217,0.44519,0.814316,0.363456,1,-0.000467,0.000045,0.000008,-0.000935,0.00009,0.000015,-0.010901,-0.002615,-0.00038,0.896063,0.149511,0.368669,-9.784463,14.972729,23.56637,2.18245,-1.544515,-0.743922,7.576757
0.03003,0.081301,0.445202,0.814394,0.363246,1,-0.000703,0.00008,-0.000015,-0.001407,0.000161,-0.000031,-0.007481,-0.001251,-0.00222,0.895878,0.148952,0.371099,-9.784463,14.972729,23.56637,2.32158,-1.683645,-0.535469,7.639259
0.04004,0.081376,0.44523,0.814468,0.363029,1,-0.000938,0.000132,-0.000049,-0.001876,0.000265,-0.000099,-0.001307,0.001756,-0.00073,0.895508,0.155105,0.374278,-9.374476,14.972729,23.56637,2.460711,-1.683645,-0.327164,7.489254
0.05005,0.081431,0.44529,0.814544,0.362774,0.999999,-0.001193,0.000229,-0.000105,-0.002385,0.000458,-0.000211,-0.000473,0.001124,0.001243,0.895322,0.157156,0.372408,-9.374476,14.972729,23.56637,2.947667,-1.822776,0.02042,7.626759
0.06006,0.08145,0.445384,0.81464,0.362437,0.999999,-0.001503,0.000405,-0.000174,-0.003005,0.00081,-0.000349,0.000874,-0.001854,0.002805,0.892359,0.158648,0.369417,-9.374476,15.148283,23.56637,3.991146,-2.031471,0.298733,7.426753
0.07007,0.081427,0.445505,0.814805,0.361923,0.999998,-0.001961,0.00071,-0.000232,-0.003923,0.001419,-0.000468,-0.001064,0.006391,-0.002786,0.899952,0.156783,0.377082,-9.374476,15.148283,23.56637,6.217233,-2.587993,0.229366,7.364251
0.08008,0.081412,0.445614,0.814914,0.361545,0.999997,-0.002293,0.000939,-0.000298,-0.004587,0.001877,-0.0006,0.000576,0.001438,-0.000913,0.895693,0.157715,0.373717,-9.538471,15.323837,23.990005,4.686798,-1.961906,0.507678,7.514255
0.09009,0.081386,0.445731,0.815028,0.361152,0.999996,-0.002634,0.001188,-0.000365,-0.005269,0.002373,-0.000735,0.000874,-0.001108,-0.000769,0.893471,0.157342,0.372034,-9.538471,15.323837,23.990005,4.895494,-1.961906,0.577149,7.251747
